epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3652.51,1.14682,2.02479,1.3743,0.42571,0.37556,0.34975,0.23714,1.22355,1.7802,1.3847,0.00030287,0.00030287,0.00030287
2,7403.8,1.13748,1.74963,1.33443,0.48313,0.35751,0.37959,0.25521,1.2336,1.67541,1.35318,0.000585876,0.000585876,0.000585876
3,11204.8,1.14221,1.72654,1.3287,0.4439,0.40416,0.39686,0.27773,1.19129,1.62143,1.32313,0.000848885,0.000848885,0.000848885
4,14911.4,1.12304,1.66096,1.31289,0.63791,0.36869,0.41427,0.28529,1.19845,1.52587,1.32403,0.000819009,0.000819009,0.000819009
5,18381,1.10046,1.59681,1.30312,0.47978,0.44758,0.453,0.32722,1.10311,1.43999,1.26989,0.000789012,0.000789012,0.000789012
6,21663.7,1.08301,1.56021,1.2914,0.50886,0.47035,0.48358,0.34693,1.08124,1.38706,1.24773,0.000759015,0.000759015,0.000759015
7,24964.7,1.05182,1.49199,1.27145,0.52417,0.4555,0.48734,0.35118,1.08123,1.37272,1.24431,0.000729018,0.000729018,0.000729018
8,28254.8,1.0424,1.46468,1.27027,0.53624,0.47089,0.48916,0.35496,1.07091,1.33038,1.23425,0.000699021,0.000699021,0.000699021
9,31561.6,1.02889,1.41044,1.25707,0.71495,0.44148,0.50865,0.37174,1.06524,1.28612,1.23155,0.000669024,0.000669024,0.000669024
10,34859.3,1.01328,1.39938,1.25044,0.59736,0.45088,0.52945,0.3851,1.02329,1.24378,1.20705,0.000639027,0.000639027,0.000639027
11,38258,1.00795,1.35456,1.24189,0.61348,0.48294,0.53688,0.39267,1.03348,1.21846,1.21413,0.00060903,0.00060903,0.00060903
12,41611.6,0.99274,1.31922,1.2381,0.76211,0.46573,0.5506,0.40318,0.99944,1.18492,1.20196,0.000579033,0.000579033,0.000579033
13,44925.4,0.97993,1.28984,1.23222,0.75659,0.47481,0.55995,0.41411,0.9854,1.16648,1.18487,0.000549036,0.000549036,0.000549036
14,48245.3,0.9749,1.27445,1.22665,0.61596,0.51782,0.57491,0.42017,0.99305,1.1382,1.18845,0.000519039,0.000519039,0.000519039
15,52879.7,0.95867,1.23706,1.21735,0.76276,0.49233,0.57435,0.42498,0.96425,1.12881,1.17145,0.000489042,0.000489042,0.000489042
16,87030.4,0.95542,1.22376,1.2197,0.7883,0.48556,0.57711,0.42714,0.96583,1.11392,1.17534,0.000459045,0.000459045,0.000459045
17,90660.1,0.94333,1.19841,1.2098,0.80168,0.48564,0.58795,0.43717,0.95983,1.08873,1.16987,0.000429048,0.000429048,0.000429048
18,94116.9,0.93153,1.16762,1.19914,0.78331,0.49751,0.58353,0.43657,0.95104,1.08789,1.16465,0.000399051,0.000399051,0.000399051
19,97537.7,0.92711,1.15231,1.19763,0.62082,0.51959,0.59421,0.44414,0.93713,1.05855,1.15749,0.000369054,0.000369054,0.000369054
20,100975,0.91929,1.13394,1.19293,0.65136,0.50652,0.59828,0.44678,0.93581,1.04931,1.15669,0.000339057,0.000339057,0.000339057
21,104404,0.85972,1.01341,1.16961,0.67775,0.50945,0.59511,0.44802,0.93074,1.04676,1.1563,0.00030906,0.00030906,0.00030906
22,107847,0.83732,0.97128,1.15012,0.80914,0.51034,0.60756,0.45416,0.9186,1.02478,1.15005,0.000279063,0.000279063,0.000279063
23,111172,0.82927,0.94882,1.14645,0.80454,0.51135,0.60673,0.45849,0.90445,1.01044,1.14653,0.000249066,0.000249066,0.000249066
24,114455,0.81397,0.91628,1.13659,0.68468,0.53276,0.61182,0.462,0.89964,0.99371,1.14151,0.000219069,0.000219069,0.000219069
25,117763,0.80285,0.89219,1.12788,0.68459,0.53707,0.61515,0.46493,0.89766,0.98697,1.14035,0.000189072,0.000189072,0.000189072
26,121050,0.79554,0.86438,1.12184,0.65863,0.54873,0.61723,0.4678,0.88887,0.97857,1.13526,0.000159075,0.000159075,0.000159075
27,124339,0.78634,0.85058,1.11767,0.65069,0.55894,0.62279,0.47323,0.88862,0.966,1.1364,0.000129078,0.000129078,0.000129078
28,127637,0.77692,0.82935,1.10882,0.6638,0.55811,0.62966,0.47605,0.88447,0.95368,1.13102,9.9081e-05,9.9081e-05,9.9081e-05
29,130922,0.76577,0.81265,1.10463,0.67172,0.54724,0.62647,0.47582,0.88343,0.95531,1.13018,6.9084e-05,6.9084e-05,6.9084e-05
30,134210,0.75956,0.79701,1.1012,0.70824,0.53971,0.62664,0.47618,0.87973,0.95385,1.12748,3.9087e-05,3.9087e-05,3.9087e-05
