epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3906.21,1.05745,1.95619,1.22083,0.39001,0.36318,0.31284,0.21695,1.09331,1.78932,1.11824,0.000302857,0.000302857,0.000302857
2,7702.71,1.07444,1.68122,1.20059,0.46192,0.35612,0.36346,0.25484,1.08853,1.57313,1.10303,0.000585864,0.000585864,0.000585864
3,11476.8,1.0845,1.64106,1.2017,0.46346,0.38011,0.37585,0.26592,1.10595,1.57127,1.11931,0.000848873,0.000848873,0.000848873
4,15137.8,1.07818,1.60914,1.19761,0.41181,0.39541,0.36966,0.26524,1.07476,1.5902,1.10253,0.000819009,0.000819009,0.000819009
5,18864.5,1.05188,1.54943,1.18861,0.46518,0.41702,0.41997,0.29571,1.03496,1.46003,1.0723,0.000789012,0.000789012,0.000789012
6,22613,1.03134,1.47644,1.17927,0.6771,0.39695,0.44688,0.32639,1.01464,1.37199,1.06292,0.000759015,0.000759015,0.000759015
7,26341.2,1.021,1.42906,1.17122,0.70539,0.4145,0.46758,0.33967,1.01005,1.32408,1.05551,0.000729018,0.000729018,0.000729018
8,30101.5,1.0066,1.38759,1.15949,0.60793,0.41891,0.47407,0.34779,0.98455,1.29711,1.04103,0.000699021,0.000699021,0.000699021
9,33843,0.9977,1.3549,1.15875,0.57613,0.44167,0.48699,0.35797,0.98743,1.25548,1.04336,0.000669024,0.000669024,0.000669024
10,37593,0.99001,1.32926,1.15728,0.72227,0.42017,0.49027,0.36226,0.97686,1.22851,1.02478,0.000639027,0.000639027,0.000639027
11,41358.8,0.97629,1.29859,1.14572,0.74935,0.4225,0.49433,0.36069,0.96463,1.22955,1.02428,0.00060903,0.00060903,0.00060903
12,45117.9,0.9667,1.26678,1.14103,0.75898,0.44089,0.51301,0.3783,0.95214,1.16716,1.01902,0.000579033,0.000579033,0.000579033
13,48867.4,0.95679,1.23114,1.13491,0.77222,0.4402,0.5177,0.38079,0.93984,1.15788,1.00836,0.000549036,0.000549036,0.000549036
14,52547.8,0.94083,1.19734,1.12614,0.75953,0.45225,0.52401,0.39114,0.93653,1.12491,1.00601,0.000519039,0.000519039,0.000519039
15,57948.3,0.93146,1.1857,1.12253,0.78597,0.44904,0.53412,0.39937,0.92259,1.09961,0.99794,0.000489042,0.000489042,0.000489042
16,63414.2,0.92372,1.14883,1.11843,0.78578,0.45373,0.53453,0.40248,0.91077,1.08839,0.99372,0.000459045,0.000459045,0.000459045
17,68433.6,0.91401,1.12179,1.11332,0.79017,0.46533,0.54416,0.41131,0.90258,1.05379,0.9858,0.000429048,0.000429048,0.000429048
18,72175.3,0.90989,1.10231,1.109,0.81387,0.45808,0.54928,0.41268,0.90489,1.04959,0.98492,0.000399051,0.000399051,0.000399051
19,75944.2,0.90971,1.08864,1.10591,0.81594,0.46129,0.55389,0.41876,0.89543,1.0407,0.98359,0.000369054,0.000369054,0.000369054
20,79717.7,0.89508,1.06148,1.10249,0.80055,0.47482,0.55747,0.42021,0.89672,1.02859,0.98061,0.000339057,0.000339057,0.000339057
21,83481.7,0.85606,0.97297,1.06574,0.81001,0.46943,0.55774,0.42014,0.89528,1.02256,0.98098,0.00030906,0.00030906,0.00030906
22,87263.5,0.84157,0.93407,1.05492,0.81064,0.47172,0.55947,0.42225,0.88778,1.025,0.98081,0.000279063,0.000279063,0.000279063
23,91024.3,0.83486,0.91543,1.05175,0.7948,0.48725,0.56503,0.42704,0.88576,1.00252,0.97923,0.000249066,0.000249066,0.000249066
24,94785.7,0.81295,0.88166,1.04071,0.82736,0.47792,0.56969,0.43219,0.87517,0.97987,0.97312,0.000219069,0.000219069,0.000219069
25,98511,0.81417,0.86194,1.0371,0.82148,0.47541,0.56937,0.43437,0.87154,0.98016,0.96715,0.000189072,0.000189072,0.000189072
26,102262,0.7984,0.83487,1.03261,0.80818,0.49251,0.57286,0.43635,0.87435,0.96816,0.96996,0.000159075,0.000159075,0.000159075
27,106000,0.79009,0.81291,1.02845,0.82165,0.49113,0.57886,0.43928,0.86996,0.95833,0.96772,0.000129078,0.000129078,0.000129078
28,109748,0.78636,0.79344,1.02166,0.82384,0.49007,0.57686,0.44009,0.8676,0.959,0.9651,9.9081e-05,9.9081e-05,9.9081e-05
29,113518,0.77681,0.77265,1.01898,0.81626,0.4993,0.58059,0.44273,0.86372,0.9514,0.96202,6.9084e-05,6.9084e-05,6.9084e-05
30,117287,0.77479,0.75984,1.01822,0.82553,0.49583,0.58271,0.44441,0.86337,0.94631,0.96105,3.9087e-05,3.9087e-05,3.9087e-05
